league,position,mean_index,median_index,std_index,min_index,max_index,n_players,cv,high_spread,level
epl,AM,1.573,1.573,0.386,1.3,1.846,2,0.246,False,granular
epl,CB,1.385,1.195,0.636,0.8,2.333,6,0.459,True,granular
epl,CM,1.212,1.033,0.427,0.933,1.846,4,0.352,True,granular
epl,DM,1.0,1.0,0.467,0.533,1.467,3,0.467,True,granular
epl,FB,0.614,0.572,0.126,0.467,0.8,6,0.206,False,granular
epl,GK,1.145,1.0,0.466,0.769,1.667,3,0.407,True,granular
epl,ST,2.174,1.867,1.203,1.154,3.5,3,0.553,True,granular
epl,W,1.322,0.9,0.926,0.467,2.667,6,0.7,True,granular
laliga,AM,1.667,1.667,0.0,1.667,1.667,1,0.0,False,granular
laliga,CB,0.604,0.67,0.223,0.286,0.792,4,0.369,True,granular
laliga,CM,1.349,1.333,0.357,1.0,1.714,3,0.265,False,granular
laliga,DM,0.503,0.503,0.408,0.214,0.792,2,0.812,True,granular
laliga,FB,0.701,0.714,0.281,0.375,1.0,4,0.401,True,granular
laliga,GK,1.664,1.664,0.88,1.042,2.286,2,0.529,True,granular
laliga,ST,3.393,3.393,1.263,2.5,4.286,2,0.372,True,granular
laliga,W,1.769,2.0,0.666,0.792,2.286,4,0.376,True,granular
