club,league,season,name,granular,broad,annual,weekly,currency,minutes,starts,index,formation_mode,matched
man-city,epl,2025-26,Gianluigi Donnarumma,GK,GK,13000,250,GBP,3100,34,1.6667,actual,True
man-city,epl,2025-26,Rúben Dias,CB,DEF,11440,220,GBP,3000,33,1.4667,actual,True
man-city,epl,2025-26,Erling Haaland,ST,FWD,27300,525,GBP,3000,33,3.5,actual,True
man-city,epl,2025-26,Joško Gvardiol,CB,DEF,6760,130,GBP,2900,32,0.8667,actual,True
man-city,epl,2025-26,Tijjani Reijnders,CM,MID,7280,140,GBP,2700,30,0.9333,actual,True
man-city,epl,2025-26,Rodri,DM,MID,11440,220,GBP,2600,29,1.4667,actual,True
man-city,epl,2025-26,Phil Foden,W,FWD,7800,150,GBP,2600,29,1.0,actual,True
man-city,epl,2025-26,Bernardo Silva,CM,MID,8320,160,GBP,2500,28,1.0667,actual,True
man-city,epl,2025-26,Matheus Nunes,FB,DEF,5720,110,GBP,2400,27,0.7333,actual,True
man-city,epl,2025-26,Savinho,W,FWD,3640,70,GBP,2300,25,0.4667,actual,True
man-city,epl,2025-26,Nathan Aké,FB,DEF,6240,120,GBP,2100,23,0.8,actual,True
man-city,epl,2025-26,Gianluigi Donnarumma,GK,GK,13000,250,GBP,3100,34,1.6667,forced433,True
man-city,epl,2025-26,Rúben Dias,CB,DEF,11440,220,GBP,3000,33,1.4667,forced433,True
man-city,epl,2025-26,Joško Gvardiol,CB,DEF,6760,130,GBP,2900,32,0.8667,forced433,True
man-city,epl,2025-26,Matheus Nunes,FB,DEF,5720,110,GBP,2400,27,0.7333,forced433,True
man-city,epl,2025-26,Nathan Aké,FB,DEF,6240,120,GBP,2100,23,0.8,forced433,True
man-city,epl,2025-26,Rodri,DM,MID,11440,220,GBP,2600,29,1.4667,forced433,True
man-city,epl,2025-26,Tijjani Reijnders,CM,MID,7280,140,GBP,2700,30,0.9333,forced433,True
man-city,epl,2025-26,Bernardo Silva,CM,MID,8320,160,GBP,2500,28,1.0667,forced433,True
man-city,epl,2025-26,Phil Foden,W,FWD,7800,150,GBP,2600,29,1.0,forced433,True
man-city,epl,2025-26,Savinho,W,FWD,3640,70,GBP,2300,25,0.4667,forced433,True
man-city,epl,2025-26,Erling Haaland,ST,FWD,27300,525,GBP,3000,33,3.5,forced433,True
liverpool,epl,2025-26,Virgil van Dijk,CB,DEF,18200,350,GBP,3200,35,2.3333,actual,True
liverpool,epl,2025-26,Mohamed Salah,W,FWD,20800,400,GBP,3100,34,2.6667,actual,True
liverpool,epl,2025-26,Ryan Gravenberch,DM,MID,4160,80,GBP,2900,32,0.5333,actual,True
liverpool,epl,2025-26,Alisson,GK,GK,7800,150,GBP,2800,31,1.0,actual,True
liverpool,epl,2025-26,Alexis Mac Allister,CM,MID,7800,150,GBP,2700,30,1.0,actual,True
liverpool,epl,2025-26,Ibrahima Konaté,CB,DEF,6240,120,GBP,2600,29,0.8,actual,True
liverpool,epl,2025-26,Alexander Isak,ST,FWD,14560,280,GBP,2600,28,1.8667,actual,True
liverpool,epl,2025-26,Florian Wirtz,AM,MID,10140,195,GBP,2500,28,1.3,actual,True
liverpool,epl,2025-26,Milos Kerkez,FB,DEF,3640,70,GBP,2400,27,0.4667,actual,True
liverpool,epl,2025-26,Cody Gakpo,W,FWD,6240,120,GBP,2400,27,0.8,actual,True
liverpool,epl,2025-26,Jeremie Frimpong,FB,DEF,4420,85,GBP,2200,24,0.5667,actual,True
liverpool,epl,2025-26,Alisson,GK,GK,7800,150,GBP,2800,31,1.25,forced433,True
liverpool,epl,2025-26,Virgil van Dijk,CB,DEF,18200,350,GBP,3200,35,2.9167,forced433,True
liverpool,epl,2025-26,Ibrahima Konaté,CB,DEF,6240,120,GBP,2600,29,1.0,forced433,True
liverpool,epl,2025-26,Milos Kerkez,FB,DEF,3640,70,GBP,2400,27,0.5833,forced433,True
liverpool,epl,2025-26,Jeremie Frimpong,FB,DEF,4420,85,GBP,2200,24,0.7083,forced433,True
liverpool,epl,2025-26,Ryan Gravenberch,DM,MID,4160,80,GBP,2900,32,0.6667,forced433,True
liverpool,epl,2025-26,Alexis Mac Allister,CM,MID,7800,150,GBP,2700,30,1.25,forced433,True
liverpool,epl,2025-26,Dominik Szoboszlai,CM,MID,6240,120,GBP,1900,20,1.0,forced433,True
liverpool,epl,2025-26,Mohamed Salah,W,FWD,20800,400,GBP,3100,34,3.3333,forced433,True
liverpool,epl,2025-26,Cody Gakpo,W,FWD,6240,120,GBP,2400,27,1.0,forced433,True
liverpool,epl,2025-26,Alexander Isak,ST,FWD,14560,280,GBP,2600,28,2.3333,forced433,True
arsenal,epl,2025-26,David Raya,GK,GK,5200,100,GBP,3200,35,0.7692,actual,True
arsenal,epl,2025-26,William Saliba,CB,DEF,13000,250,GBP,3000,33,1.9231,actual,True
arsenal,epl,2025-26,Declan Rice,CM,MID,12480,240,GBP,3000,33,1.8462,actual,True
arsenal,epl,2025-26,Gabriel Magalhães,CB,DEF,6240,120,GBP,2900,32,0.9231,actual,True
arsenal,epl,2025-26,Martín Zubimendi,DM,MID,6760,130,GBP,2800,31,1.0,actual,True
arsenal,epl,2025-26,Bukayo Saka,W,FWD,15600,300,GBP,2800,31,2.3077,actual,True
arsenal,epl,2025-26,Martin Ødegaard,AM,MID,12480,240,GBP,2700,30,1.8462,actual,True
arsenal,epl,2025-26,Jurriën Timber,FB,DEF,3900,75,GBP,2600,29,0.5769,actual,True
arsenal,epl,2025-26,Viktor Gyökeres,ST,FWD,7800,150,GBP,2600,29,1.1538,actual,True
arsenal,epl,2025-26,Riccardo Calafiori,FB,DEF,3640,70,GBP,2200,24,0.5385,actual,True
arsenal,epl,2025-26,Gabriel Martinelli,W,FWD,4680,90,GBP,2200,24,0.6923,actual,True
arsenal,epl,2025-26,David Raya,GK,GK,5200,100,GBP,3200,35,0.7692,forced433,True
arsenal,epl,2025-26,William Saliba,CB,DEF,13000,250,GBP,3000,33,1.9231,forced433,True
arsenal,epl,2025-26,Gabriel Magalhães,CB,DEF,6240,120,GBP,2900,32,0.9231,forced433,True
arsenal,epl,2025-26,Jurriën Timber,FB,DEF,3900,75,GBP,2600,29,0.5769,forced433,True
arsenal,epl,2025-26,Riccardo Calafiori,FB,DEF,3640,70,GBP,2200,24,0.5385,forced433,True
arsenal,epl,2025-26,Martín Zubimendi,DM,MID,6760,130,GBP,2800,31,1.0,forced433,True
arsenal,epl,2025-26,Declan Rice,CM,MID,12480,240,GBP,3000,33,1.8462,forced433,True
arsenal,epl,2025-26,Martin Ødegaard,CM,MID,12480,240,GBP,2700,30,1.8462,forced433,True
arsenal,epl,2025-26,Bukayo Saka,W,FWD,15600,300,GBP,2800,31,2.3077,forced433,True
arsenal,epl,2025-26,Gabriel Martinelli,W,FWD,4680,90,GBP,2200,24,0.6923,forced433,True
arsenal,epl,2025-26,Viktor Gyökeres,ST,FWD,7800,150,GBP,2600,29,1.1538,forced433,True
chelsea,epl,2025-26,Robert Sánchez,GK,GK,3900,75,GBP,2900,32,0.4688,actual,True
chelsea,epl,2025-26,Reece James,FB,DEF,10400,200,GBP,2870,31,1.25,actual,True
chelsea,epl,2025-26,Wesley Fofana,CB,DEF,10400,200,GBP,2840,30,1.25,actual,True
chelsea,epl,2025-26,Levi Colwill,CB,DEF,4160,80,GBP,2810,29,0.5,actual,True
chelsea,epl,2025-26,Marc Cucurella,FB,DEF,9100,175,GBP,2780,28,1.0938,actual,True
chelsea,epl,2025-26,Moisés Caicedo,DM,MID,10400,200,GBP,2750,27,1.25,actual,True
chelsea,epl,2025-26,Enzo Fernández,CM,MID,9360,180,GBP,2720,26,1.125,actual,True
chelsea,epl,2025-26,Cole Palmer,AM,MID,6760,130,GBP,2690,25,0.8125,actual,True
chelsea,epl,2025-26,Pedro Neto,W,FWD,8320,160,GBP,2660,24,1.0,actual,True
chelsea,epl,2025-26,Estêvão,W,FWD,4160,80,GBP,2630,23,0.5,actual,True
chelsea,epl,2025-26,João Pedro,ST,FWD,4680,90,GBP,2600,22,0.5625,actual,True
chelsea,epl,2025-26,Robert Sánchez,GK,GK,3900,75,GBP,2900,32,0.4688,forced433,True
chelsea,epl,2025-26,Wesley Fofana,CB,DEF,10400,200,GBP,2840,30,1.25,forced433,True
chelsea,epl,2025-26,Levi Colwill,CB,DEF,4160,80,GBP,2810,29,0.5,forced433,True
chelsea,epl,2025-26,Reece James,FB,DEF,10400,200,GBP,2870,31,1.25,forced433,True
chelsea,epl,2025-26,Marc Cucurella,FB,DEF,9100,175,GBP,2780,28,1.0938,forced433,True
chelsea,epl,2025-26,Moisés Caicedo,DM,MID,10400,200,GBP,2750,27,1.25,forced433,True
chelsea,epl,2025-26,Enzo Fernández,CM,MID,9360,180,GBP,2720,26,1.125,forced433,True
chelsea,epl,2025-26,Cole Palmer,CM,MID,6760,130,GBP,2690,25,0.8125,forced433,True
chelsea,epl,2025-26,Pedro Neto,W,FWD,8320,160,GBP,2660,24,1.0,forced433,True
chelsea,epl,2025-26,Estêvão,W,FWD,4160,80,GBP,2630,23,0.5,forced433,True
chelsea,epl,2025-26,João Pedro,ST,FWD,4680,90,GBP,2600,22,0.5625,forced433,True
man-united,epl,2025-26,André Onana,GK,GK,6240,120,GBP,2900,32,1.0,actual,True
man-united,epl,2025-26,Matthijs de Ligt,CB,DEF,6760,130,GBP,2870,31,1.0833,actual,True
man-united,epl,2025-26,Leny Yoro,CB,DEF,4420,85,GBP,2840,30,0.7083,actual,True
man-united,epl,2025-26,Luke Shaw,CB,DEF,7800,150,GBP,2810,29,1.25,actual,True
man-united,epl,2025-26,Noussair Mazraoui,FB,DEF,4680,90,GBP,2780,28,0.75,actual,True
man-united,epl,2025-26,Patrick Dorgu,FB,DEF,2080,40,GBP,2750,27,0.3333,actual,True
man-united,epl,2025-26,Casemiro,CM,MID,18200,350,GBP,2720,26,2.9167,actual,True
man-united,epl,2025-26,Bruno Fernandes,CM,MID,15600,300,GBP,2690,25,2.5,actual,True
man-united,epl,2025-26,Matheus Cunha,AM,MID,4680,90,GBP,2660,24,0.75,actual,True
man-united,epl,2025-26,Bryan Mbeumo,AM,MID,6240,120,GBP,2630,23,1.0,actual,True
man-united,epl,2025-26,Benjamin Šeško,ST,FWD,4680,90,GBP,2600,22,0.75,actual,True
man-united,epl,2025-26,André Onana,GK,GK,6240,120,GBP,2900,32,1.0,forced433,True
man-united,epl,2025-26,Matthijs de Ligt,CB,DEF,6760,130,GBP,2870,31,1.0833,forced433,True
man-united,epl,2025-26,Leny Yoro,CB,DEF,4420,85,GBP,2840,30,0.7083,forced433,True
man-united,epl,2025-26,Noussair Mazraoui,FB,DEF,4680,90,GBP,2780,28,0.75,forced433,True
man-united,epl,2025-26,Patrick Dorgu,FB,DEF,2080,40,GBP,2750,27,0.3333,forced433,True
man-united,epl,2025-26,Casemiro,DM,MID,18200,350,GBP,2720,26,2.9167,forced433,True
man-united,epl,2025-26,Bruno Fernandes,CM,MID,15600,300,GBP,2690,25,2.5,forced433,True
man-united,epl,2025-26,Matheus Cunha,CM,MID,4680,90,GBP,2660,24,0.75,forced433,True
man-united,epl,2025-26,Bryan Mbeumo,W,FWD,6240,120,GBP,2630,23,1.0,forced433,True
man-united,epl,2025-26,Benjamin Šeško,W,FWD,4680,90,GBP,2600,22,0.75,forced433,True
man-united,epl,2025-26,Luke Shaw,ST,FWD,7800,150,GBP,2810,29,1.25,forced433,True
tottenham,epl,2025-26,Guglielmo Vicario,GK,GK,4160,80,GBP,2900,32,0.8889,actual,True
tottenham,epl,2025-26,Pedro Porro,FB,DEF,4680,90,GBP,2870,31,1.0,actual,True
tottenham,epl,2025-26,Cristian Romero,CB,DEF,10140,195,GBP,2840,30,2.1667,actual,True
tottenham,epl,2025-26,Micky van de Ven,CB,DEF,4680,90,GBP,2810,29,1.0,actual,True
tottenham,epl,2025-26,Destiny Udogie,FB,DEF,3640,70,GBP,2780,28,0.7778,actual,True
tottenham,epl,2025-26,João Palhinha,DM,MID,7020,135,GBP,2750,27,1.5,actual,True
tottenham,epl,2025-26,Rodrigo Bentancur,CM,MID,4680,90,GBP,2720,26,1.0,actual,True
tottenham,epl,2025-26,Xavi Simons,AM,MID,10140,195,GBP,2690,25,2.1667,actual,True
tottenham,epl,2025-26,Mohammed Kudus,W,FWD,7800,150,GBP,2660,24,1.6667,actual,True
tottenham,epl,2025-26,Brennan Johnson,W,FWD,4160,80,GBP,2630,23,0.8889,actual,True
tottenham,epl,2025-26,Dominic Solanke,ST,FWD,5720,110,GBP,2600,22,1.2222,actual,True
tottenham,epl,2025-26,Guglielmo Vicario,GK,GK,4160,80,GBP,2900,32,0.8889,forced433,True
tottenham,epl,2025-26,Cristian Romero,CB,DEF,10140,195,GBP,2840,30,2.1667,forced433,True
tottenham,epl,2025-26,Micky van de Ven,CB,DEF,4680,90,GBP,2810,29,1.0,forced433,True
tottenham,epl,2025-26,Pedro Porro,FB,DEF,4680,90,GBP,2870,31,1.0,forced433,True
tottenham,epl,2025-26,Destiny Udogie,FB,DEF,3640,70,GBP,2780,28,0.7778,forced433,True
tottenham,epl,2025-26,João Palhinha,DM,MID,7020,135,GBP,2750,27,1.5,forced433,True
tottenham,epl,2025-26,Rodrigo Bentancur,CM,MID,4680,90,GBP,2720,26,1.0,forced433,True
tottenham,epl,2025-26,Xavi Simons,CM,MID,10140,195,GBP,2690,25,2.1667,forced433,True
tottenham,epl,2025-26,Mohammed Kudus,W,FWD,7800,150,GBP,2660,24,1.6667,forced433,True
tottenham,epl,2025-26,Brennan Johnson,W,FWD,4160,80,GBP,2630,23,0.8889,forced433,True
tottenham,epl,2025-26,Dominic Solanke,ST,FWD,5720,110,GBP,2600,22,1.2222,forced433,True
newcastle,epl,2025-26,Nick Pope,GK,GK,3120,60,GBP,2900,32,0.8571,actual,True
newcastle,epl,2025-26,Tino Livramento,FB,DEF,2600,50,GBP,2870,31,0.7143,actual,True
newcastle,epl,2025-26,Sven Botman,CB,DEF,3640,70,GBP,2840,30,1.0,actual,True
newcastle,epl,2025-26,Fabian Schär,CB,DEF,3120,60,GBP,2810,29,0.8571,actual,True
newcastle,epl,2025-26,Lewis Hall,FB,DEF,2340,45,GBP,2780,28,0.6429,actual,True
newcastle,epl,2025-26,Sandro Tonali,DM,MID,6240,120,GBP,2750,27,1.7143,actual,True
newcastle,epl,2025-26,Bruno Guimarães,CM,MID,8320,160,GBP,2720,26,2.2857,actual,True
newcastle,epl,2025-26,Joelinton,CM,MID,7800,150,GBP,2690,25,2.1429,actual,True
newcastle,epl,2025-26,Harvey Barnes,W,FWD,3120,60,GBP,2660,24,0.8571,actual,True
newcastle,epl,2025-26,Anthony Gordon,W,FWD,7800,150,GBP,2630,23,2.1429,actual,True
newcastle,epl,2025-26,Nick Woltemade,ST,FWD,4160,80,GBP,2600,22,1.1429,actual,True
newcastle,epl,2025-26,Nick Pope,GK,GK,3120,60,GBP,2900,32,0.8571,forced433,True
newcastle,epl,2025-26,Sven Botman,CB,DEF,3640,70,GBP,2840,30,1.0,forced433,True
newcastle,epl,2025-26,Fabian Schär,CB,DEF,3120,60,GBP,2810,29,0.8571,forced433,True
newcastle,epl,2025-26,Tino Livramento,FB,DEF,2600,50,GBP,2870,31,0.7143,forced433,True
newcastle,epl,2025-26,Lewis Hall,FB,DEF,2340,45,GBP,2780,28,0.6429,forced433,True
newcastle,epl,2025-26,Sandro Tonali,DM,MID,6240,120,GBP,2750,27,1.7143,forced433,True
newcastle,epl,2025-26,Bruno Guimarães,CM,MID,8320,160,GBP,2720,26,2.2857,forced433,True
newcastle,epl,2025-26,Joelinton,CM,MID,7800,150,GBP,2690,25,2.1429,forced433,True
