season,conf,team,W,L,pd
2026,East,DET,60,22,753
2026,East,BOS,56,26,737
2026,East,NY,53,29,605
2026,East,CLE,52,30,378
2026,East,ATL,46,36,238
2026,East,TOR,46,36,275
2026,East,ORL,45,37,81
2026,East,PHI,45,37,-27
2026,East,CHA,44,38,448
2026,East,MIA,43,39,235
2026,East,MIL,32,50,-612
2026,East,CHI,31,51,-509
2026,East,BKN,20,62,-970
2026,East,IND,19,63,-764
2026,East,WSH,17,65,-1162
2026,West,OKC,64,18,1104
2026,West,SA,62,20,828
2026,West,DEN,54,28,497
2026,West,LAL,53,29,168
2026,West,HOU,52,30,487
2026,West,MIN,49,33,307
2026,West,PHX,45,37,175
2026,West,POR,42,40,-29
2026,West,LAC,42,40,96
2026,West,GS,37,45,-34
2026,West,NO,26,56,-426
2026,West,DAL,26,56,-533
2026,West,MEM,25,57,-583
2026,West,SAC,22,60,-958
2026,West,UTAH,22,60,-805
