season,home,away,home_score,away_score
2016,GS,MEM,125,104
2016,LAL,UTAH,101,96
2016,PHX,LAC,114,105
2016,POR,DEN,107,99
2016,BOS,MIA,98,88
2016,BKN,TOR,96,103
2016,CHA,ORL,117,103
2016,CLE,DET,110,112
2016,WSH,ATL,109,98
2016,CHI,PHI,115,105
2016,DAL,SA,91,96
2016,HOU,SAC,116,81
2016,MIL,IND,92,97
2016,MIN,NO,144,109
2016,LAC,MEM,110,84
2016,SA,OKC,102,98
2016,DET,MIA,93,99
2016,TOR,PHI,122,98
2016,IND,NY,102,90
2016,PHX,SAC,101,105
2016,UTAH,DAL,92,101
2016,MIN,HOU,105,129
2016,NO,CHI,116,121
2016,OKC,LAL,112,79
2016,BOS,CHA,100,114
2016,BKN,WSH,111,120
2016,CLE,ATL,109,94
2016,ORL,MIL,107,98
2016,NY,TOR,89,93
2016,SA,GS,86,92
2016,IND,BKN,129,105
2016,MIA,ORL,118,96
2016,PHI,MIL,108,109
2016,DEN,UTAH,84,100
2016,HOU,LAL,130,110
2016,LAC,DAL,98,91
2016,WSH,CHA,113,98
2016,POR,MIN,105,106
2016,SAC,OKC,114,112
2016,CHI,CLE,105,102
2016,MEM,GS,99,100
2016,ATL,BOS,118,107
2016,NO,PHX,100,121
2016,DEN,SA,102,98
2016,UTAH,LAC,99,102
2016,DAL,MEM,103,93
2016,NO,LAL,110,102
2016,BOS,MIL,124,109
2016,DET,WSH,112,99
2016,TOR,IND,111,98
2016,CHA,BKN,113,99
2016,ORL,MIA,112,109
2016,PHI,NY,102,109
2016,GS,SA,112,101
2016,SAC,MIN,97,105
2016,ATL,TOR,95,87
2016,MIA,CHI,106,98
2016,HOU,PHX,115,124
2016,LAL,LAC,81,91
2016,POR,OKC,120,115
2016,DAL,HOU,88,86
2016,BOS,NO,104,97
2016,NY,CHA,97,111
2016,IND,CLE,123,109
2016,ORL,DET,104,108
2016,WSH,BKN,121,103
2016,GS,MIN,117,124
2016,LAC,LAL,103,81
2016,SAC,POR,107,115
2016,DEN,OKC,102,124
2016,UTAH,SA,86,88
2016,MIA,DET,107,89
2016,ATL,PHX,103,90
2016,MEM,CHI,108,92
2016,MIL,CLE,80,109
2016,TOR,CHA,96,90
2016,PHI,NO,107,93
2016,LAL,BOS,100,107
2016,GS,POR,136,111
2016,NY,IND,87,92
