season,position,team
2001-02,1,Bayern Munich
2001-02,2,Dortmund
2001-02,3,Leverkusen
2001-02,4,Schalke 04
2001-02,5,Hertha
2001-02,6,Werder Bremen
2001-02,7,Kaiserslautern
2001-02,8,Munich 1860
2001-02,9,Stuttgart
2001-02,10,Wolfsburg
2001-02,11,Hamburg
2001-02,12,MGladbach
2001-02,13,Hansa Rostock
2001-02,14,Nurnberg
2001-02,15,Cottbus
2001-02,16,FC Koln
2001-02,17,Freiburg
2001-02,18,St Pauli
2002-03,1,Bayern Munich
2002-03,2,Stuttgart
2002-03,3,Dortmund
2002-03,4,Hamburg
2002-03,5,Werder Bremen
2002-03,6,Hertha
2002-03,7,Schalke 04
2002-03,8,Bochum
2002-03,9,Wolfsburg
2002-03,10,Hannover
2002-03,11,Munich 1860
2002-03,12,MGladbach
2002-03,13,Kaiserslautern
2002-03,14,Hansa Rostock
2002-03,15,Leverkusen
2002-03,16,Bielefeld
2002-03,17,Nurnberg
2002-03,18,Cottbus
2003-04,1,Werder Bremen
2003-04,2,Stuttgart
2003-04,3,Bayern Munich
2003-04,4,Leverkusen
2003-04,5,Schalke 04
2003-04,6,Dortmund
2003-04,7,Bochum
2003-04,8,Hamburg
2003-04,9,MGladbach
2003-04,10,Wolfsburg
2003-04,11,Kaiserslautern
2003-04,12,Hannover
2003-04,13,Hertha
2003-04,14,Munich 1860
2003-04,15,Freiburg
2003-04,16,Hansa Rostock
2003-04,17,Ein Frankfurt
2003-04,18,FC Koln
2004-05,1,Bayern Munich
2004-05,2,Schalke 04
2004-05,3,Werder Bremen
2004-05,4,Hertha
2004-05,5,Stuttgart
2004-05,6,Leverkusen
2004-05,7,Dortmund
2004-05,8,Hamburg
2004-05,9,Wolfsburg
2004-05,10,Hannover
2004-05,11,Mainz
2004-05,12,Kaiserslautern
2004-05,13,Bielefeld
2004-05,14,Nurnberg
2004-05,15,MGladbach
2004-05,16,Bochum
2004-05,17,Hansa Rostock
2004-05,18,Freiburg
2005-06,1,Bayern Munich
2005-06,2,Werder Bremen
2005-06,3,Hamburg
2005-06,4,Schalke 04
2005-06,5,Leverkusen
2005-06,6,Hertha
2005-06,7,Dortmund
2005-06,8,Nurnberg
2005-06,9,Stuttgart
2005-06,10,MGladbach
2005-06,11,Mainz
2005-06,12,Hannover
2005-06,13,Bielefeld
2005-06,14,Ein Frankfurt
2005-06,15,Wolfsburg
2005-06,16,Kaiserslautern
2005-06,17,FC Koln
2005-06,18,Duisburg
2006-07,1,Stuttgart
2006-07,2,Schalke 04
2006-07,3,Werder Bremen
2006-07,4,Bayern Munich
2006-07,5,Leverkusen
2006-07,6,Nurnberg
2006-07,7,Hamburg
2006-07,8,Bochum
2006-07,9,Dortmund
2006-07,10,Hertha
2006-07,11,Hannover
2006-07,12,Bielefeld
2006-07,13,Cottbus
2006-07,14,Ein Frankfurt
2006-07,15,Wolfsburg
2006-07,16,Mainz
2006-07,17,Aachen
2006-07,18,MGladbach
2007-08,1,Bayern Munich
2007-08,2,Werder Bremen
2007-08,3,Schalke 04
2007-08,4,Hamburg
2007-08,5,Wolfsburg
2007-08,6,Stuttgart
2007-08,7,Leverkusen
2007-08,8,Hannover
2007-08,9,Ein Frankfurt
2007-08,10,Hertha
2007-08,11,Karlsruhe
2007-08,12,Bochum
2007-08,13,Dortmund
2007-08,14,Cottbus
2007-08,15,Bielefeld
2007-08,16,Nurnberg
2007-08,17,Hansa Rostock
2007-08,18,Duisburg
2008-09,1,Wolfsburg
2008-09,2,Bayern Munich
2008-09,3,Stuttgart
2008-09,4,Hertha
2008-09,5,Hamburg
2008-09,6,Dortmund
2008-09,7,Hoffenheim
2008-09,8,Schalke 04
2008-09,9,Leverkusen
