season,position,team
2001-02,1,Arsenal
2001-02,2,Liverpool
2001-02,3,Man United
2001-02,4,Newcastle
2001-02,5,Leeds
2001-02,6,Chelsea
2001-02,7,West Ham
2001-02,8,Aston Villa
2001-02,9,Tottenham
2001-02,10,Blackburn
2001-02,11,Southampton
2001-02,12,Middlesbrough
2001-02,13,Fulham
2001-02,14,Charlton
2001-02,15,Everton
2001-02,16,Bolton
2001-02,17,Sunderland
2001-02,18,Ipswich
2001-02,19,Derby
2001-02,20,Leicester
2002-03,1,Man United
2002-03,2,Arsenal
2002-03,3,Newcastle
2002-03,4,Chelsea
2002-03,5,Liverpool
2002-03,6,Blackburn
2002-03,7,Everton
2002-03,8,Southampton
2002-03,9,Man City
2002-03,10,Tottenham
2002-03,11,Middlesbrough
2002-03,12,Charlton
2002-03,13,Birmingham
2002-03,14,Fulham
2002-03,15,Leeds
2002-03,16,Aston Villa
2002-03,17,Bolton
2002-03,18,West Ham
2002-03,19,West Brom
2002-03,20,Sunderland
2003-04,1,Arsenal
2003-04,2,Chelsea
2003-04,3,Man United
2003-04,4,Liverpool
2003-04,5,Newcastle
2003-04,6,Aston Villa
2003-04,7,Birmingham
2003-04,8,Bolton
2003-04,9,Fulham
2003-04,10,Charlton
2003-04,11,Middlesbrough
2003-04,12,Tottenham
2003-04,13,Southampton
2003-04,14,Blackburn
2003-04,15,Man City
2003-04,16,Portsmouth
2003-04,17,Everton
2003-04,18,Leicester
2003-04,19,Wolves
2003-04,20,Leeds
2004-05,1,Chelsea
2004-05,2,Arsenal
2004-05,3,Man United
2004-05,4,Everton
2004-05,5,Liverpool
2004-05,6,Bolton
2004-05,7,Tottenham
2004-05,8,Middlesbrough
2004-05,9,Aston Villa
2004-05,10,Charlton
2004-05,11,Man City
2004-05,12,Blackburn
2004-05,13,Birmingham
2004-05,14,Newcastle
2004-05,15,Fulham
2004-05,16,Portsmouth
2004-05,17,West Brom
2004-05,18,Southampton
2004-05,19,Crystal Palace
2004-05,20,Norwich
2005-06,1,Chelsea
2005-06,2,Man United
2005-06,3,Liverpool
2005-06,4,Arsenal
2005-06,5,Tottenham
2005-06,6,Blackburn
2005-06,7,Newcastle
2005-06,8,Bolton
2005-06,9,West Ham
2005-06,10,Wigan
2005-06,11,Everton
2005-06,12,Fulham
2005-06,13,Charlton
2005-06,14,Middlesbrough
2005-06,15,Man City
2005-06,16,Aston Villa
2005-06,17,Portsmouth
2005-06,18,Birmingham
2005-06,19,West Brom
2005-06,20,Sunderland
2006-07,1,Man United
2006-07,2,Chelsea
2006-07,3,Liverpool
2006-07,4,Arsenal
2006-07,5,Tottenham
2006-07,6,Everton
2006-07,7,Bolton
2006-07,8,Reading
2006-07,9,Portsmouth
2006-07,10,Blackburn
2006-07,11,Aston Villa
2006-07,12,Middlesbrough
2006-07,13,Newcastle
2006-07,14,Man City
2006-07,15,West Ham
2006-07,16,Fulham
2006-07,17,Wigan
2006-07,18,Sheffield United
2006-07,19,Charlton
2006-07,20,Watford
2007-08,1,Man United
2007-08,2,Chelsea
2007-08,3,Arsenal
2007-08,4,Liverpool
2007-08,5,Everton
2007-08,6,Aston Villa
2007-08,7,Blackburn
2007-08,8,Portsmouth
2007-08,9,Man City
2007-08,10,West Ham
2007-08,11,Tottenham
2007-08,12,Newcastle
2007-08,13,Middlesbrough
2007-08,14,Wigan
2007-08,15,Sunderland
2007-08,16,Bolton
2007-08,17,Fulham
2007-08,18,Reading
2007-08,19,Birmingham
2007-08,20,Derby
2008-09,1,Man United
2008-09,2,Liverpool
2008-09,3,Chelsea
2008-09,4,Arsenal
2008-09,5,Everton
2008-09,6,Aston Villa
2008-09,7,Fulham
2008-09,8,Tottenham
2008-09,9,West Ham
2008-09,10,Man City
2008-09,11,Wigan
2008-09,12,Stoke
2008-09,13,Bolton
2008-09,14,Portsmouth
2008-09,15,Blackburn
2008-09,16,Sunderland
2008-09,17,Hull
2008-09,18,Newcastle
2008-09,19,Middlesbrough
2008-09,20,West Brom
2009-10,1,Chelsea
2009-10,2,Man United
2009-10,3,Arsenal
2009-10,4,Tottenham
2009-10,5,Man City
2009-10,6,Aston Villa
2009-10,7,Liverpool
2009-10,8,Everton
2009-10,9,Birmingham
2009-10,10,Blackburn
2009-10,11,Stoke
2009-10,12,Fulham
2009-10,13,Sunderland
2009-10,14,Bolton
2009-10,15,Wolves
2009-10,16,Wigan
2009-10,17,West Ham
2009-10,18,Burnley
2009-10,19,Hull
2009-10,20,Portsmouth
2010-11,1,Man United
2010-11,2,Chelsea
2010-11,3,Man City
2010-11,4,Arsenal
2010-11,5,Tottenham
2010-11,6,Liverpool
2010-11,7,Everton
2010-11,8,Fulham
2010-11,9,Aston Villa
2010-11,10,Sunderland
2010-11,11,West Brom
2010-11,12,Newcastle
2010-11,13,Stoke
2010-11,14,Bolton
2010-11,15,Blackburn
2010-11,16,Wigan
2010-11,17,Wolves
2010-11,18,Birmingham
2010-11,19,Blackpool
2010-11,20,West Ham
2011-12,1,Man City
2011-12,2,Man United
2011-12,3,Arsenal
2011-12,4,Tottenham
2011-12,5,Newcastle
2011-12,6,Chelsea
2011-12,7,Everton
2011-12,8,Liverpool
2011-12,9,Fulham
2011-12,10,West Brom
2011-12,11,Swansea
2011-12,12,Norwich
2011-12,13,Sunderland
2011-12,14,Stoke
2011-12,15,Wigan
2011-12,16,Aston Villa
2011-12,17,QPR
2011-12,18,Bolton
2011-12,19,Blackburn
2011-12,20,Wolves
2012-13,1,Man United
2012-13,2,Man City
2012-13,3,Chelsea
2012-13,4,Arsenal
2012-13,5,Tottenham
2012-13,6,Everton
2012-13,7,Liverpool
2012-13,8,West Brom
2012-13,9,Swansea
2012-13,10,West Ham
2012-13,11,Norwich
2012-13,12,Fulham
2012-13,13,Stoke
2012-13,14,Southampton
2012-13,15,Aston Villa
2012-13,16,Newcastle
2012-13,17,Sunderland
2012-13,18,Wigan
2012-13,19,Reading
2012-13,20,QPR
2013-14,1,Man City
2013-14,2,Liverpool
2013-14,3,Chelsea
2013-14,4,Arsenal
2013-14,5,Everton
2013-14,6,Tottenham
2013-14,7,Man United
2013-14,8,Southampton
2013-14,9,Stoke
2013-14,10,Newcastle
2013-14,11,Crystal Palace
2013-14,12,Swansea
2013-14,13,West Ham
2013-14,14,Sunderland
2013-14,15,Aston Villa
2013-14,16,Hull
2013-14,17,West Brom
2013-14,18,Norwich
2013-14,19,Fulham
2013-14,20,Cardiff
2014-15,1,Chelsea
2014-15,2,Man City
2014-15,3,Arsenal
2014-15,4,Man United
2014-15,5,Tottenham
2014-15,6,Liverpool
2014-15,7,Southampton
2014-15,8,Swansea
2014-15,9,Stoke
2014-15,10,Crystal Palace
2014-15,11,Everton
2014-15,12,West Ham
2014-15,13,West Brom
2014-15,14,Leicester
2014-15,15,Newcastle
2014-15,16,Sunderland
2014-15,17,Aston Villa
2014-15,18,Hull
2014-15,19,Burnley
2014-15,20,QPR
2015-16,1,Leicester
2015-16,2,Arsenal
2015-16,3,Tottenham
2015-16,4,Man City
2015-16,5,Man United
2015-16,6,Southampton
2015-16,7,West Ham
2015-16,8,Liverpool
2015-16,9,Stoke
2015-16,10,Chelsea
2015-16,11,Everton
2015-16,12,Swansea
2015-16,13,Watford
2015-16,14,West Brom
2015-16,15,Crystal Palace
2015-16,16,Bournemouth
2015-16,17,Sunderland
2015-16,18,Newcastle
2015-16,19,Norwich
2015-16,20,Aston Villa
2016-17,1,Chelsea
2016-17,2,Tottenham
2016-17,3,Man City
2016-17,4,Liverpool
2016-17,5,Arsenal
2016-17,6,Man United
2016-17,7,Everton
2016-17,8,Southampton
2016-17,9,Bournemouth
2016-17,10,West Brom
2016-17,11,West Ham
2016-17,12,Leicester
2016-17,13,Stoke
2016-17,14,Crystal Palace
2016-17,15,Swansea
2016-17,16,Burnley
2016-17,17,Watford
2016-17,18,Hull
2016-17,19,Middlesbrough
2016-17,20,Sunderland
2017-18,1,Man City
2017-18,2,Man United
2017-18,3,Tottenham
2017-18,4,Liverpool
2017-18,5,Chelsea
2017-18,6,Arsenal
2017-18,7,Burnley
2017-18,8,Everton
2017-18,9,Leicester
2017-18,10,Newcastle
2017-18,11,Crystal Palace
2017-18,12,Bournemouth
2017-18,13,West Ham
2017-18,14,Watford
2017-18,15,Brighton
2017-18,16,Huddersfield
2017-18,17,Southampton
2017-18,18,Swansea
2017-18,19,Stoke
2017-18,20,West Brom
2018-19,1,Man City
2018-19,2,Liverpool
2018-19,3,Chelsea
2018-19,4,Tottenham
2018-19,5,Arsenal
2018-19,6,Man United
2018-19,7,Wolves
2018-19,8,Everton
2018-19,9,Leicester
2018-19,10,West Ham
2018-19,11,Watford
2018-19,12,Crystal Palace
2018-19,13,Newcastle
2018-19,14,Bournemouth
2018-19,15,Burnley
2018-19,16,Southampton
2018-19,17,Brighton
2018-19,18,Cardiff
2018-19,19,Fulham
2018-19,20,Huddersfield
2019-20,1,Liverpool
2019-20,2,Man City
2019-20,3,Man United
2019-20,4,Chelsea
2019-20,5,Leicester
2019-20,6,Tottenham
2019-20,7,Wolves
2019-20,8,Arsenal
2019-20,9,Sheffield United
2019-20,10,Burnley
2019-20,11,Southampton
2019-20,12,Everton
2019-20,13,Newcastle
2019-20,14,Crystal Palace
