season,position,team
2010,1,Red Bull
2010,2,McLaren
2010,3,Ferrari
2010,4,Mercedes
2010,5,Renault
2010,6,Williams
2010,7,Force India
2010,8,Sauber
2010,9,Toro Rosso
2010,10,Lotus
2010,11,HRT
2010,12,Virgin
2011,1,Red Bull
2011,2,McLaren
2011,3,Ferrari
2011,4,Mercedes
2011,5,Renault
2011,6,Force India
2011,7,Sauber
2011,8,Toro Rosso
2011,9,Williams
2011,10,Lotus
2011,11,Virgin
2011,12,HRT
2012,1,Red Bull
2012,2,Ferrari
2012,3,McLaren
2012,4,Lotus F1
2012,5,Mercedes
2012,6,Sauber
2012,7,Force India
2012,8,Williams
2012,9,Toro Rosso
2012,10,Marussia
2012,11,Caterham
2012,12,HRT
2013,1,Red Bull
2013,2,Mercedes
2013,3,Ferrari
2013,4,Lotus F1
2013,5,McLaren
2013,6,Force India
2013,7,Sauber
2013,8,Toro Rosso
2013,9,Williams
2013,10,Marussia
2013,11,Caterham
2014,1,Mercedes
2014,2,Red Bull
2014,3,Williams
2014,4,Ferrari
2014,5,McLaren
2014,6,Force India
2014,7,Toro Rosso
2014,8,Lotus F1
2014,9,Marussia
2014,10,Sauber
2014,11,Caterham
2015,1,Mercedes
2015,2,Ferrari
2015,3,Williams
2015,4,Red Bull
2015,5,Force India
2015,6,Lotus F1
2015,7,Toro Rosso
2015,8,Sauber
2015,9,McLaren
2015,10,Manor Marussia
2016,1,Mercedes
2016,2,Red Bull
2016,3,Ferrari
2016,4,Force India
2016,5,Williams
2016,6,McLaren
2016,7,Toro Rosso
2016,8,Haas F1 Team
2016,9,Renault
2016,10,Sauber
2016,11,Manor Marussia
2017,1,Mercedes
2017,2,Ferrari
2017,3,Red Bull
2017,4,Force India
2017,5,Williams
2017,6,Renault
2017,7,Toro Rosso
2017,8,Haas F1 Team
2017,9,McLaren
2017,10,Sauber
2018,1,Mercedes
2018,2,Ferrari
2018,3,Red Bull
2018,4,Renault
2018,5,Force India
2018,6,Haas F1 Team
2018,7,McLaren
2018,8,Sauber
2018,9,Toro Rosso
2018,10,Williams
2019,1,Mercedes
2019,2,Ferrari
2019,3,Red Bull
2019,4,McLaren
2019,5,Renault
2019,6,Toro Rosso
2019,7,Racing Point
2019,8,Alfa Romeo
2019,9,Haas F1 Team
2019,10,Williams
2020,1,Mercedes
2020,2,Red Bull
2020,3,Racing Point
2020,4,McLaren
2020,5,Renault
2020,6,Ferrari
2020,7,AlphaTauri
2020,8,Alfa Romeo
2020,9,Haas F1 Team
2020,10,Williams
2021,1,Mercedes
2021,2,Red Bull
2021,3,Ferrari
2021,4,McLaren
2021,5,Alpine F1 Team
2021,6,AlphaTauri
2021,7,Aston Martin
2021,8,Williams
2021,9,Alfa Romeo
2021,10,Haas F1 Team
2022,1,Red Bull
2022,2,Ferrari
2022,3,Mercedes
2022,4,Alpine F1 Team
2022,5,McLaren
2022,6,Alfa Romeo
2022,7,Aston Martin
2022,8,Haas F1 Team
2022,9,AlphaTauri
2022,10,Williams
2023,1,Red Bull
2023,2,Mercedes
2023,3,Ferrari
2023,4,McLaren
2023,5,Aston Martin
2023,6,Alpine F1 Team
2023,7,Williams
2023,8,AlphaTauri
2023,9,Alfa Romeo
2023,10,Haas F1 Team
2024,1,McLaren
2024,2,Ferrari
2024,3,Red Bull
2024,4,Mercedes
2024,5,Aston Martin
2024,6,Alpine F1 Team
2024,7,Haas F1 Team
2024,8,RB F1 Team
2024,9,Williams
2024,10,Sauber
