season,position,team
2001-02,1,Valencia
2001-02,2,La Coruna
2001-02,3,Real Madrid
2001-02,4,Barcelona
2001-02,5,Celta
2001-02,6,Betis
2001-02,7,Alaves
2001-02,8,Sevilla
2001-02,9,Malaga
2001-02,10,Ath Bilbao
2001-02,11,Vallecano
2001-02,12,Valladolid
2001-02,13,Sociedad
2001-02,14,Espanol
2001-02,15,Villarreal
2001-02,16,Mallorca
2001-02,17,Osasuna
2001-02,18,Las Palmas
2001-02,19,Tenerife
2001-02,20,Zaragoza
2002-03,1,Real Madrid
2002-03,2,Sociedad
2002-03,3,La Coruna
2002-03,4,Celta
2002-03,5,Valencia
2002-03,6,Barcelona
2002-03,7,Ath Bilbao
2002-03,8,Betis
2002-03,9,Mallorca
2002-03,10,Sevilla
2002-03,11,Ath Madrid
2002-03,12,Osasuna
2002-03,13,Valladolid
2002-03,14,Malaga
2002-03,15,Villarreal
2002-03,16,Santander
2002-03,17,Espanol
2002-03,18,Recreativo
2002-03,19,Alaves
2002-03,20,Vallecano
2003-04,1,Valencia
2003-04,2,Barcelona
2003-04,3,La Coruna
2003-04,4,Real Madrid
2003-04,5,Ath Bilbao
2003-04,6,Sevilla
2003-04,7,Ath Madrid
2003-04,8,Villarreal
2003-04,9,Betis
2003-04,10,Malaga
2003-04,11,Mallorca
2003-04,12,Osasuna
2003-04,13,Zaragoza
2003-04,14,Albacete
2003-04,15,Sociedad
2003-04,16,Santander
2003-04,17,Espanol
2003-04,18,Valladolid
2003-04,19,Celta
2003-04,20,Murcia
2004-05,1,Barcelona
2004-05,2,Real Madrid
2004-05,3,Villarreal
2004-05,4,Valencia
2004-05,5,Sevilla
2004-05,6,Espanol
2004-05,7,Betis
2004-05,8,Malaga
2004-05,9,Osasuna
2004-05,10,Ath Madrid
2004-05,11,Getafe
2004-05,12,Zaragoza
2004-05,13,Santander
2004-05,14,Levante
2004-05,15,La Coruna
2004-05,16,Ath Bilbao
2004-05,17,Sociedad
2004-05,18,Mallorca
2004-05,19,Albacete
2004-05,20,Numancia
2005-06,1,Barcelona
2005-06,2,Real Madrid
2005-06,3,Valencia
2005-06,4,Sevilla
2005-06,5,Osasuna
2005-06,6,Celta
2005-06,7,Villarreal
2005-06,8,La Coruna
2005-06,9,Getafe
2005-06,10,Ath Madrid
2005-06,11,Zaragoza
2005-06,12,Ath Bilbao
2005-06,13,Mallorca
2005-06,14,Betis
2005-06,15,Espanol
2005-06,16,Santander
2005-06,17,Sociedad
2005-06,18,Alaves
2005-06,19,Cadiz
2005-06,20,Malaga
2007-08,1,Real Madrid
2007-08,2,Villarreal
2007-08,3,Barcelona
2007-08,4,Sevilla
2007-08,5,Ath Madrid
2007-08,6,Santander
2007-08,7,Mallorca
2007-08,8,La Coruna
2007-08,9,Almeria
2007-08,10,Valencia
2007-08,11,Ath Bilbao
2007-08,12,Espanol
2007-08,13,Getafe
2007-08,14,Betis
2007-08,15,Valladolid
2007-08,16,Recreativo
2007-08,17,Osasuna
2007-08,18,Zaragoza
2007-08,19,Murcia
2007-08,20,Levante
2008-09,1,Barcelona
2008-09,2,Real Madrid
2008-09,3,Sevilla
2008-09,4,Ath Madrid
2008-09,5,Villarreal
2008-09,6,Valencia
2008-09,7,La Coruna
2008-09,8,Malaga
2008-09,9,Mallorca
2008-09,10,Espanol
2008-09,11,Santander
2008-09,12,Almeria
2008-09,13,Ath Bilbao
2008-09,14,Osasuna
2008-09,15,Valladolid
2008-09,16,Sp Gijon
2008-09,17,Getafe
2008-09,18,Betis
2008-09,19,Numancia
2008-09,20,Recreativo
2009-10,1,Barcelona
2009-10,2,Real Madrid
2009-10,3,Valencia
2009-10,4,Sevilla
2009-10,5,Mallorca
2009-10,6,Getafe
2009-10,7,Villarreal
2009-10,8,Ath Bilbao
2009-10,9,Ath Madrid
2009-10,10,La Coruna
2009-10,11,Espanol
2009-10,12,Osasuna
2009-10,13,Almeria
2009-10,14,Zaragoza
2009-10,15,Sp Gijon
2009-10,16,Santander
2009-10,17,Malaga
2009-10,18,Valladolid
2009-10,19,Tenerife
2009-10,20,Xerez
2010-11,1,Barcelona
2010-11,2,Real Madrid
2010-11,3,Valencia
2010-11,4,Villarreal
2010-11,5,Ath Madrid
2010-11,6,Ath Bilbao
2010-11,7,Sevilla
2010-11,8,Espanol
2010-11,9,Osasuna
2010-11,10,Sp Gijon
2010-11,11,Malaga
2010-11,12,Santander
2010-11,13,Levante
2010-11,14,Zaragoza
2010-11,15,Sociedad
2010-11,16,Getafe
2010-11,17,Mallorca
2010-11,18,La Coruna
2010-11,19,Hercules
2010-11,20,Almeria
2011-12,1,Real Madrid
2011-12,2,Barcelona
2011-12,3,Valencia
2011-12,4,Malaga
2011-12,5,Ath Madrid
2011-12,6,Levante
2011-12,7,Osasuna
2011-12,8,Mallorca
2011-12,9,Sevilla
2011-12,10,Ath Bilbao
