season,position,team
2001-02,1,Lyon
2001-02,2,Lens
2001-02,3,Paris SG
2001-02,4,Auxerre
2001-02,5,Lille
2001-02,6,Bordeaux
2001-02,7,Troyes
2001-02,8,Sochaux
2001-02,9,Nantes
2001-02,10,Marseille
2001-02,11,Rennes
2001-02,12,Bastia
2001-02,13,Montpellier
2001-02,14,Monaco
2001-02,15,Sedan
2001-02,16,Guingamp
2001-02,17,Metz
2001-02,18,Lorient
2002-03,1,Paris SG
2002-03,2,Marseille
2002-03,3,Auxerre
2002-03,4,Monaco
2002-03,5,Lyon
2002-03,6,Bastia
2002-03,7,Nice
2002-03,8,Sochaux
2002-03,9,Lens
2002-03,10,Bordeaux
2002-03,11,Le Havre
2002-03,12,Strasbourg
2002-03,13,Nantes
2002-03,14,Ajaccio
2002-03,15,Guingamp
2002-03,16,Lille
2002-03,17,Montpellier
2002-03,18,Sedan
2002-03,19,Troyes
2002-03,20,Rennes
2003-04,1,Paris SG
2003-04,2,Marseille
2003-04,3,Monaco
2003-04,4,Lyon
2003-04,5,Metz
2003-04,6,Auxerre
2003-04,7,Sochaux
2003-04,8,Nice
2003-04,9,Nantes
2003-04,10,Toulouse
2003-04,11,Lille
2003-04,12,Strasbourg
2003-04,13,Rennes
2003-04,14,Lens
2003-04,15,Guingamp
2003-04,16,Ajaccio
2003-04,17,Bordeaux
2003-04,18,Bastia
2003-04,19,Le Mans
2003-04,20,Montpellier
2005-06,1,Lyon
2005-06,2,Bordeaux
2005-06,3,Lens
2005-06,4,Marseille
2005-06,5,Lille
2005-06,6,Rennes
2005-06,7,Auxerre
2005-06,8,Nice
2005-06,9,Le Mans
2005-06,10,Monaco
2005-06,11,Paris SG
2005-06,12,Nancy
2005-06,13,St Etienne
2005-06,14,Sochaux
2005-06,15,Nantes
2005-06,16,Troyes
2005-06,17,Toulouse
2005-06,18,Ajaccio
2005-06,19,Metz
2005-06,20,Strasbourg
2006-07,1,Lyon
2006-07,2,Marseille
2006-07,3,Rennes
2006-07,4,Lens
2006-07,5,Bordeaux
2006-07,6,Sochaux
2006-07,7,Toulouse
2006-07,8,Auxerre
2006-07,9,Monaco
2006-07,10,Lille
2006-07,11,St Etienne
2006-07,12,Le Mans
2006-07,13,Nancy
2006-07,14,Lorient
2006-07,15,Paris SG
2006-07,16,Nice
2006-07,17,Valenciennes
2006-07,18,Troyes
2006-07,19,Sedan
2006-07,20,Nantes
2007-08,1,Lyon
2007-08,2,Bordeaux
2007-08,3,Marseille
2007-08,4,Nancy
2007-08,5,St Etienne
2007-08,6,Rennes
2007-08,7,Lille
2007-08,8,Nice
2007-08,9,Le Mans
2007-08,10,Lorient
2007-08,11,Caen
2007-08,12,Monaco
2007-08,13,Valenciennes
2007-08,14,Sochaux
2007-08,15,Auxerre
2007-08,16,Paris SG
2007-08,17,Toulouse
2007-08,18,Lens
2007-08,19,Strasbourg
2007-08,20,Metz
2008-09,1,Bordeaux
2008-09,2,Marseille
2008-09,3,Lyon
2008-09,4,Toulouse
2008-09,5,Lille
2008-09,6,Paris SG
2008-09,7,Rennes
2008-09,8,Auxerre
2008-09,9,Nice
2008-09,10,Lorient
2008-09,11,Monaco
2008-09,12,Valenciennes
2008-09,13,Grenoble
2008-09,14,Sochaux
2008-09,15,Nancy
2008-09,16,Le Mans
2008-09,17,St Etienne
2008-09,18,Caen
2008-09,19,Nantes
2008-09,20,Le Havre
2009-10,1,Marseille
2009-10,2,Lyon
2009-10,3,Auxerre
2009-10,4,Lille
2009-10,5,Montpellier
2009-10,6,Bordeaux
2009-10,7,Lorient
2009-10,8,Monaco
2009-10,9,Rennes
2009-10,10,Valenciennes
2009-10,11,Lens
2009-10,12,Nancy
2009-10,13,Paris SG
2009-10,14,Toulouse
2009-10,15,Nice
2009-10,16,Sochaux
2009-10,17,St Etienne
2009-10,18,Le Mans
2009-10,19,Boulogne
2009-10,20,Grenoble
2010-11,1,Lille
2010-11,2,Marseille
2010-11,3,Lyon
2010-11,4,Paris SG
2010-11,5,Sochaux
2010-11,6,Rennes
2010-11,7,Bordeaux
2010-11,8,Toulouse
2010-11,9,Auxerre
2010-11,10,St Etienne
2010-11,11,Lorient
2010-11,12,Valenciennes
2010-11,13,Nancy
2010-11,14,Montpellier
2010-11,15,Caen
2010-11,16,Brest
2010-11,17,Nice
2010-11,18,Monaco
2010-11,19,Lens
2010-11,20,Arles
2011-12,1,Montpellier
2011-12,2,Paris SG
2011-12,3,Lille
2011-12,4,Lyon
2011-12,5,Bordeaux
2011-12,6,Rennes
2011-12,7,St Etienne
2011-12,8,Toulouse
2011-12,9,Evian Thonon Gaillard
2011-12,10,Marseille
2011-12,11,Nancy
2011-12,12,Valenciennes
2011-12,13,Nice
2011-12,14,Sochaux
2011-12,15,Brest
2011-12,16,Ajaccio
2011-12,17,Lorient
2011-12,18,Caen
2011-12,19,Dijon
2011-12,20,Auxerre
2012-13,1,Paris SG
2012-13,2,Marseille
2012-13,3,Lyon
2012-13,4,Nice
2012-13,5,St Etienne
2012-13,6,Lille
2012-13,7,Bordeaux
2012-13,8,Lorient
2012-13,9,Montpellier
2012-13,10,Toulouse
2012-13,11,Valenciennes
2012-13,12,Bastia
2012-13,13,Rennes
2012-13,14,Reims
2012-13,15,Ajaccio
2012-13,16,Sochaux
2012-13,17,Evian Thonon Gaillard
2012-13,18,Nancy
2012-13,19,Troyes
