season,position,team
2013,1,Boston Red Sox
2013,2,Oakland Athletics
2013,3,Detroit Tigers
2013,4,Cleveland Indians
2013,5,Tampa Bay Rays
2013,6,Texas Rangers
2013,7,Kansas City Royals
2013,8,Baltimore Orioles
2013,9,New York Yankees
2013,10,Los Angeles Angels of Anaheim
2013,11,Toronto Blue Jays
2013,12,Seattle Mariners
2013,13,Minnesota Twins
2013,14,Chicago White Sox
2013,15,Houston Astros
2014,1,Los Angeles Angels of Anaheim
2014,2,Baltimore Orioles
2014,3,Detroit Tigers
2014,4,Kansas City Royals
2014,5,Oakland Athletics
2014,6,Seattle Mariners
2014,7,Cleveland Indians
2014,8,New York Yankees
2014,9,Toronto Blue Jays
2014,10,Tampa Bay Rays
2014,11,Chicago White Sox
2014,12,Boston Red Sox
2014,13,Minnesota Twins
2014,14,Houston Astros
2014,15,Texas Rangers
2015,1,Kansas City Royals
2015,2,Toronto Blue Jays
2015,3,Texas Rangers
2015,4,New York Yankees
2015,5,Houston Astros
2015,6,Los Angeles Angels of Anaheim
2015,7,Minnesota Twins
2015,8,Cleveland Indians
2015,9,Baltimore Orioles
2015,10,Tampa Bay Rays
2015,11,Boston Red Sox
2015,12,Seattle Mariners
2015,13,Chicago White Sox
2015,14,Detroit Tigers
2015,15,Oakland Athletics
2016,1,Texas Rangers
2016,2,Cleveland Indians
2016,3,Boston Red Sox
2016,4,Toronto Blue Jays
2016,5,Baltimore Orioles
2016,6,Detroit Tigers
2016,7,Seattle Mariners
2016,8,Houston Astros
2016,9,New York Yankees
2016,10,Kansas City Royals
2016,11,Chicago White Sox
2016,12,Los Angeles Angels of Anaheim
2016,13,Oakland Athletics
2016,14,Tampa Bay Rays
2016,15,Minnesota Twins
2017,1,Cleveland Indians
2017,2,Houston Astros
2017,3,Boston Red Sox
2017,4,New York Yankees
2017,5,Minnesota Twins
2017,6,Los Angeles Angels of Anaheim
2017,7,Tampa Bay Rays
2017,8,Kansas City Royals
2017,9,Texas Rangers
2017,10,Seattle Mariners
2017,11,Toronto Blue Jays
2017,12,Oakland Athletics
2017,13,Baltimore Orioles
2017,14,Chicago White Sox
2017,15,Detroit Tigers
2018,1,Boston Red Sox
2018,2,Houston Astros
2018,3,New York Yankees
2018,4,Oakland Athletics
2018,5,Cleveland Indians
2018,6,Tampa Bay Rays
2018,7,Seattle Mariners
2018,8,Los Angeles Angels of Anaheim
2018,9,Minnesota Twins
2018,10,Toronto Blue Jays
2018,11,Texas Rangers
2018,12,Detroit Tigers
2018,13,Chicago White Sox
2018,14,Kansas City Royals
2018,15,Baltimore Orioles
2019,1,Houston Astros
2019,2,New York Yankees
2019,3,Minnesota Twins
2019,4,Oakland Athletics
2019,5,Tampa Bay Rays
2019,6,Cleveland Indians
2019,7,Boston Red Sox
2019,8,Texas Rangers
2019,9,Chicago White Sox
2019,10,Los Angeles Angels of Anaheim
2019,11,Seattle Mariners
2019,12,Toronto Blue Jays
2019,13,Kansas City Royals
2019,14,Baltimore Orioles
2019,15,Detroit Tigers
2020,1,Tampa Bay Rays
2020,2,Minnesota Twins
2020,3,Oakland Athletics
2020,4,Chicago White Sox
2020,5,Cleveland Indians
2020,6,New York Yankees
2020,7,Toronto Blue Jays
2020,8,Houston Astros
2020,9,Seattle Mariners
2020,10,Kansas City Royals
2020,11,Los Angeles Angels of Anaheim
2020,12,Baltimore Orioles
2020,13,Boston Red Sox
2020,14,Detroit Tigers
2020,15,Texas Rangers
2021,1,Tampa Bay Rays
2021,2,Houston Astros
2021,3,Chicago White Sox
2021,4,Boston Red Sox
2021,5,New York Yankees
2021,6,Toronto Blue Jays
2021,7,Seattle Mariners
2021,8,Oakland Athletics
2021,9,Cleveland Indians
2021,10,Detroit Tigers
2021,11,Los Angeles Angels of Anaheim
2021,12,Kansas City Royals
2021,13,Minnesota Twins
2021,14,Texas Rangers
2021,15,Baltimore Orioles
