season,position,team
2015,1,Team 02
2015,2,Team 01
2015,3,Team 14
2015,4,Team 12
2015,5,Team 05
2015,6,Team 08
2015,7,Team 04
2015,8,Team 06
2015,9,Team 15
2015,10,Team 03
2015,11,Team 07
2015,12,Team 13
2015,13,Team 10
2015,14,Team 11
2015,15,Team 09
2016,1,Team 02
2016,2,Team 14
2016,3,Team 08
2016,4,Team 01
2016,5,Team 05
2016,6,Team 13
2016,7,Team 06
2016,8,Team 04
2016,9,Team 12
2016,10,Team 10
2016,11,Team 15
2016,12,Team 09
2016,13,Team 07
2016,14,Team 11
2016,15,Team 03
2017,1,Team 02
2017,2,Team 05
2017,3,Team 08
2017,4,Team 14
2017,5,Team 13
2017,6,Team 06
2017,7,Team 09
2017,8,Team 15
2017,9,Team 12
2017,10,Team 01
2017,11,Team 10
2017,12,Team 11
2017,13,Team 04
2017,14,Team 03
2017,15,Team 07
2018,1,Team 02
2018,2,Team 06
2018,3,Team 05
2018,4,Team 12
2018,5,Team 04
2018,6,Team 14
2018,7,Team 01
2018,8,Team 13
2018,9,Team 08
2018,10,Team 15
2018,11,Team 11
2018,12,Team 10
2018,13,Team 07
2018,14,Team 09
2018,15,Team 03
2019,1,Team 02
2019,2,Team 05
2019,3,Team 14
2019,4,Team 08
2019,5,Team 04
2019,6,Team 10
2019,7,Team 06
2019,8,Team 12
2019,9,Team 09
2019,10,Team 15
2019,11,Team 03
2019,12,Team 07
2019,13,Team 11
2019,14,Team 01
2019,15,Team 13
2020,1,Team 02
2020,2,Team 05
2020,3,Team 06
2020,4,Team 14
2020,5,Team 12
2020,6,Team 09
2020,7,Team 15
2020,8,Team 01
2020,9,Team 08
2020,10,Team 03
2020,11,Team 10
2020,12,Team 04
2020,13,Team 07
2020,14,Team 13
2020,15,Team 11
2021,1,Team 02
2021,2,Team 08
2021,3,Team 15
2021,4,Team 13
2021,5,Team 01
2021,6,Team 05
2021,7,Team 14
2021,8,Team 10
2021,9,Team 09
2021,10,Team 07
2021,11,Team 03
2021,12,Team 06
2021,13,Team 12
2021,14,Team 04
2021,15,Team 11
2022,1,Team 02
2022,2,Team 08
2022,3,Team 12
2022,4,Team 06
2022,5,Team 05
2022,6,Team 01
2022,7,Team 14
2022,8,Team 03
2022,9,Team 07
2022,10,Team 15
2022,11,Team 04
2022,12,Team 13
2022,13,Team 10
2022,14,Team 09
2022,15,Team 11
2023,1,Team 02
2023,2,Team 08
2023,3,Team 14
2023,4,Team 13
2023,5,Team 12
2023,6,Team 06
2023,7,Team 04
2023,8,Team 07
2023,9,Team 01
2023,10,Team 05
2023,11,Team 03
2023,12,Team 15
2023,13,Team 09
2023,14,Team 11
2023,15,Team 10
2024,1,Team 02
2024,2,Team 14
2024,3,Team 08
2024,4,Team 06
2024,5,Team 05
2024,6,Team 07
2024,7,Team 12
2024,8,Team 13
2024,9,Team 10
2024,10,Team 15
2024,11,Team 01
2024,12,Team 04
2024,13,Team 03
2024,14,Team 11
2024,15,Team 09
