season,position,team
2010-11,1,Chicago Bulls
2010-11,2,Miami Heat
2010-11,3,Boston Celtics
2010-11,4,Orlando Magic
2010-11,5,Atlanta Hawks
2010-11,6,New York Knicks
2010-11,7,Philadelphia 76ers
2010-11,8,Indiana Pacers
2010-11,9,Milwaukee Bucks
2010-11,10,Charlotte Bobcats
2010-11,11,Detroit Pistons
2010-11,12,New Jersey Nets
2010-11,13,Washington Wizards
2010-11,14,Toronto Raptors
2010-11,15,Cleveland Cavaliers
2011-12,1,Chicago Bulls
2011-12,2,Miami Heat
2011-12,3,Indiana Pacers
2011-12,4,Atlanta Hawks
2011-12,5,Boston Celtics
2011-12,6,Orlando Magic
2011-12,7,New York Knicks
2011-12,8,Philadelphia 76ers
2011-12,9,Milwaukee Bucks
2011-12,10,Detroit Pistons
2011-12,11,Toronto Raptors
2011-12,12,New Jersey Nets
2011-12,13,Cleveland Cavaliers
2011-12,14,Washington Wizards
2011-12,15,Charlotte Bobcats
2012-13,1,Miami Heat
2012-13,2,New York Knicks
2012-13,3,Indiana Pacers
2012-13,4,Brooklyn Nets
2012-13,5,Chicago Bulls
2012-13,6,Atlanta Hawks
2012-13,7,Boston Celtics
2012-13,8,Milwaukee Bucks
2012-13,9,Toronto Raptors
2012-13,10,Philadelphia 76ers
2012-13,11,Washington Wizards
2012-13,12,Detroit Pistons
2012-13,13,Cleveland Cavaliers
2012-13,14,Charlotte Bobcats
2012-13,15,Orlando Magic
2013-14,1,Indiana Pacers
2013-14,2,Miami Heat
2013-14,3,Toronto Raptors
2013-14,4,Chicago Bulls
2013-14,5,Washington Wizards
2013-14,6,Brooklyn Nets
2013-14,7,Charlotte Bobcats
2013-14,8,Atlanta Hawks
2013-14,9,New York Knicks
2013-14,10,Cleveland Cavaliers
2013-14,11,Detroit Pistons
2013-14,12,Boston Celtics
2013-14,13,Orlando Magic
2013-14,14,Philadelphia 76ers
2013-14,15,Milwaukee Bucks
2014-15,1,Atlanta Hawks
2014-15,2,Cleveland Cavaliers
2014-15,3,Chicago Bulls
2014-15,4,Toronto Raptors
2014-15,5,Washington Wizards
2014-15,6,Milwaukee Bucks
2014-15,7,Boston Celtics
2014-15,8,Indiana Pacers
2014-15,9,Brooklyn Nets
2014-15,10,Miami Heat
2014-15,11,Charlotte Hornets
2014-15,12,Detroit Pistons
2014-15,13,Orlando Magic
2014-15,14,Philadelphia 76ers
2014-15,15,New York Knicks
2015-16,1,Cleveland Cavaliers
2015-16,2,Toronto Raptors
2015-16,3,Atlanta Hawks
2015-16,4,Boston Celtics
2015-16,5,Charlotte Hornets
2015-16,6,Miami Heat
2015-16,7,Indiana Pacers
2015-16,8,Detroit Pistons
2015-16,9,Chicago Bulls
2015-16,10,Washington Wizards
2015-16,11,Orlando Magic
2015-16,12,Milwaukee Bucks
2015-16,13,New York Knicks
2015-16,14,Brooklyn Nets
2015-16,15,Philadelphia 76ers
2016-17,1,Boston Celtics
2016-17,2,Toronto Raptors
2016-17,3,Cleveland Cavaliers
2016-17,4,Washington Wizards
2016-17,5,Atlanta Hawks
2016-17,6,Milwaukee Bucks
2016-17,7,Indiana Pacers
2016-17,8,Miami Heat
2016-17,9,Chicago Bulls
2016-17,10,Detroit Pistons
2016-17,11,Charlotte Hornets
2016-17,12,New York Knicks
2016-17,13,Orlando Magic
2016-17,14,Philadelphia 76ers
2016-17,15,Brooklyn Nets
2017-18,1,Toronto Raptors
2017-18,2,Boston Celtics
2017-18,3,Philadelphia 76ers
2017-18,4,Cleveland Cavaliers
2017-18,5,Indiana Pacers
2017-18,6,Miami Heat
2017-18,7,Milwaukee Bucks
2017-18,8,Washington Wizards
2017-18,9,Detroit Pistons
2017-18,10,Charlotte Hornets
2017-18,11,New York Knicks
2017-18,12,Brooklyn Nets
2017-18,13,Chicago Bulls
2017-18,14,Orlando Magic
2017-18,15,Atlanta Hawks
2018-19,1,Milwaukee Bucks
2018-19,2,Toronto Raptors
2018-19,3,Philadelphia 76ers
2018-19,4,Boston Celtics
2018-19,5,Indiana Pacers
2018-19,6,Orlando Magic
2018-19,7,Brooklyn Nets
2018-19,8,Detroit Pistons
2018-19,9,Miami Heat
2018-19,10,Charlotte Hornets
2018-19,11,Washington Wizards
2018-19,12,Atlanta Hawks
2018-19,13,Chicago Bulls
2018-19,14,Cleveland Cavaliers
2018-19,15,New York Knicks
2019-20,1,Milwaukee Bucks
2019-20,2,Toronto Raptors
2019-20,3,Boston Celtics
2019-20,4,Indiana Pacers
2019-20,5,Miami Heat
2019-20,6,Philadelphia 76ers
2019-20,7,Brooklyn Nets
2019-20,8,Orlando Magic
2019-20,9,Charlotte Hornets
2019-20,10,Washington Wizards
2019-20,11,Chicago Bulls
2019-20,12,New York Knicks
2019-20,13,Detroit Pistons
2019-20,14,Atlanta Hawks
2019-20,15,Cleveland Cavaliers
2020-21,1,Philadelphia 76ers
2020-21,2,Brooklyn Nets
2020-21,3,Milwaukee Bucks
2020-21,4,Atlanta Hawks
2020-21,5,New York Knicks
2020-21,6,Miami Heat
2020-21,7,Boston Celtics
2020-21,8,Indiana Pacers
2020-21,9,Washington Wizards
2020-21,10,Charlotte Hornets
2020-21,11,Chicago Bulls
2020-21,12,Toronto Raptors
2020-21,13,Cleveland Cavaliers
2020-21,14,Orlando Magic
2020-21,15,Detroit Pistons
2021-22,1,Miami Heat
2021-22,2,Boston Celtics
2021-22,3,Milwaukee Bucks
2021-22,4,Philadelphia 76ers
2021-22,5,Toronto Raptors
2021-22,6,Chicago Bulls
2021-22,7,Cleveland Cavaliers
2021-22,8,Brooklyn Nets
2021-22,9,Atlanta Hawks
2021-22,10,Charlotte Hornets
2021-22,11,New York Knicks
2021-22,12,Washington Wizards
2021-22,13,Indiana Pacers
2021-22,14,Detroit Pistons
2021-22,15,Orlando Magic
2022-23,1,Milwaukee Bucks
2022-23,2,Boston Celtics
2022-23,3,Philadelphia 76ers
2022-23,4,Cleveland Cavaliers
2022-23,5,New York Knicks
2022-23,6,Brooklyn Nets
2022-23,7,Miami Heat
2022-23,8,Toronto Raptors
2022-23,9,Atlanta Hawks
2022-23,10,Chicago Bulls
2022-23,11,Washington Wizards
2022-23,12,Indiana Pacers
2022-23,13,Orlando Magic
2022-23,14,Charlotte Hornets
2022-23,15,Detroit Pistons
2023-24,1,Boston Celtics
2023-24,2,New York Knicks
2023-24,3,Milwaukee Bucks
2023-24,4,Cleveland Cavaliers
2023-24,5,Philadelphia 76ers
2023-24,6,Indiana Pacers
2023-24,7,Orlando Magic
2023-24,8,Miami Heat
2023-24,9,Chicago Bulls
2023-24,10,Atlanta Hawks
2023-24,11,Brooklyn Nets
2023-24,12,Toronto Raptors
2023-24,13,Charlotte Hornets
2023-24,14,Washington Wizards
2023-24,15,Detroit Pistons
