season,position,team
2010-11,1,San Antonio Spurs
2010-11,2,Los Angeles Lakers
2010-11,3,Dallas Mavericks
2010-11,4,Oklahoma City Thunder
2010-11,5,Denver Nuggets
2010-11,6,Portland Trail Blazers
2010-11,7,Memphis Grizzlies
2010-11,8,New Orleans Hornets
2010-11,9,Houston Rockets
2010-11,10,Phoenix Suns
2010-11,11,Utah Jazz
2010-11,12,Golden State Warriors
2010-11,13,Los Angeles Clippers
2010-11,14,Sacramento Kings
2010-11,15,Minnesota Timberwolves
2011-12,1,San Antonio Spurs
2011-12,2,Oklahoma City Thunder
2011-12,3,Memphis Grizzlies
2011-12,4,Los Angeles Lakers
2011-12,5,Los Angeles Clippers
2011-12,6,Denver Nuggets
2011-12,7,Dallas Mavericks
2011-12,8,Utah Jazz
2011-12,9,Houston Rockets
2011-12,10,Phoenix Suns
2011-12,11,Portland Trail Blazers
2011-12,12,Minnesota Timberwolves
2011-12,13,Golden State Warriors
2011-12,14,Sacramento Kings
2011-12,15,New Orleans Hornets
2012-13,1,Oklahoma City Thunder
2012-13,2,San Antonio Spurs
2012-13,3,Denver Nuggets
2012-13,4,Los Angeles Clippers
2012-13,5,Memphis Grizzlies
2012-13,6,Golden State Warriors
2012-13,7,Houston Rockets
2012-13,8,Los Angeles Lakers
2012-13,9,Utah Jazz
2012-13,10,Dallas Mavericks
2012-13,11,Portland Trail Blazers
2012-13,12,Minnesota Timberwolves
2012-13,13,Sacramento Kings
2012-13,14,New Orleans Hornets
2012-13,15,Phoenix Suns
2013-14,1,San Antonio Spurs
2013-14,2,Oklahoma City Thunder
2013-14,3,Los Angeles Clippers
2013-14,4,Houston Rockets
2013-14,5,Portland Trail Blazers
2013-14,6,Golden State Warriors
2013-14,7,Memphis Grizzlies
2013-14,8,Dallas Mavericks
2013-14,9,Phoenix Suns
2013-14,10,Minnesota Timberwolves
2013-14,11,Denver Nuggets
2013-14,12,New Orleans Pelicans
2013-14,13,Sacramento Kings
2013-14,14,Los Angeles Lakers
2013-14,15,Utah Jazz
2014-15,1,Golden State Warriors
2014-15,2,Los Angeles Clippers
2014-15,3,Houston Rockets
2014-15,4,San Antonio Spurs
2014-15,5,Memphis Grizzlies
2014-15,6,Portland Trail Blazers
2014-15,7,Dallas Mavericks
2014-15,8,Oklahoma City Thunder
2014-15,9,New Orleans Pelicans
2014-15,10,Phoenix Suns
2014-15,11,Utah Jazz
2014-15,12,Denver Nuggets
2014-15,13,Sacramento Kings
2014-15,14,Los Angeles Lakers
2014-15,15,Minnesota Timberwolves
2015-16,1,Golden State Warriors
2015-16,2,San Antonio Spurs
2015-16,3,Oklahoma City Thunder
2015-16,4,LA Clippers
2015-16,5,Portland Trail Blazers
2015-16,6,Dallas Mavericks
2015-16,7,Memphis Grizzlies
2015-16,8,Houston Rockets
2015-16,9,Utah Jazz
2015-16,10,Sacramento Kings
2015-16,11,Denver Nuggets
2015-16,12,New Orleans Pelicans
2015-16,13,Minnesota Timberwolves
2015-16,14,Phoenix Suns
2015-16,15,Los Angeles Lakers
2016-17,1,Golden State Warriors
2016-17,2,San Antonio Spurs
2016-17,3,Houston Rockets
2016-17,4,LA Clippers
2016-17,5,Utah Jazz
2016-17,6,Oklahoma City Thunder
